indicator,country,countryiso3code,date,value,unit,obs_status,decimal
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2024,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2023,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2022,17.4,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2021,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2020,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2019,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2018,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2017,17.5,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2016,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2015,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2014,18.8,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2013,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2012,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2011,22.8,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2010,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2009,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2008,28.4,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2007,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2006,27.9,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2005,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2004,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2003,35.5,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2002,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2001,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,2000,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1999,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1998,30.6,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1997,34.7,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1996,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1995,,,,1
stunting,"{'id': 'GH', 'value': 'Ghana'}",GHA,1994,,,,1
